24.08.2020.
Biceps Curl,12;EZ-Bar Curl,25;Hammer Curl,12;Leg Curl,55;Leg Extension,40;Leg Press,80;Squat,50;
26.08.2020.
Bench Press,35;Cable Flies,27;Triceps Bench Extension,14;Triceps Pull Down Bar,15;Triceps Pull Down Rope,15;
28.08.2020.
Arnold Press,20;Deadlift,50;Lat Pull Down,40;Lat Raise,12;Pulley,25;Shoulder Press,20;Standing Row,25;
31.08.2020.
Biceps Curl,12;EZ-Bar Curl,25;Hammer Curl,12;Leg Curl,55;Leg Extension,40;Leg Press,85;Squat,60;
01.09.2020.
Bench Press,35;Bench Press Incline,30;Cable Flies,22;Triceps Bench Extension,14;Triceps Pull Down Bar,15;Triceps Pull Down Rope,15;
